title,certificate_type,rating,difficulty_level,no_students,content_duration,subject,About,description
Learn Mandarin Chinese,SPECIALIZATION,4.8,Beginner,39000.0,2.0,Language Learning,,
Learn SQL Basics for Data Science,SPECIALIZATION,4.6,Beginner,160000.0,2.0,Data Science,,
Learn Spanish: Basic Spanish Vocabulary,SPECIALIZATION,4.6,Beginner,80000.0,2.0,Web Development,,
Learn to Program: The Fundamentals,COURSE,4.8,Beginner,180000.0,2.0,AR & VR Development,,
Learn to Speak Korean 1,COURSE,4.9,Beginner,120000.0,2.0,Language Learning,,
Learning to Teach Online,COURSE,4.7,Beginner,68000.0,2.0,AR & VR Development,,
Legal Tech & Startups,COURSE,4.5,Intermediate,7200.0,2.0,Project Management,,
Les Fondamentaux de la Négociation,COURSE,4.7,Beginner,10000.0,2.0,Software Engineering,,
Liderazgo efectivo para el siglo XXI,SPECIALIZATION,4.8,Intermediate,23000.0,2.0,Software Engineering,,
Linear Circuits 1: DC Analysis,COURSE,4.6,Mixed,29000.0,2.0,Web Development,,
Love as a Force for Social Justice,COURSE,4.7,Beginner,14000.0,2.0,Cybersecurity,,
Machine Learning,SPECIALIZATION,4.6,Intermediate,290000.0,2.0,Machine Learning,,
Machine Learning,COURSE,4.9,Mixed,3200000.0,2.0,Machine Learning,,
Machine Learning Foundations: A Case Study Approach,COURSE,4.6,Mixed,240000.0,2.0,Machine Learning,,
Machine Learning and Reinforcement Learning in Finance,SPECIALIZATION,3.7,Intermediate,29000.0,2.0,Machine Learning,,
Machine Learning for All,COURSE,4.6,Beginner,19000.0,2.0,Machine Learning,,
Machine Learning for Business Professionals,COURSE,4.6,Intermediate,58000.0,2.0,Machine Learning,,
Machine Learning for Trading,SPECIALIZATION,3.9,Intermediate,15000.0,2.0,Machine Learning,,
Machine Learning with Python,COURSE,4.7,Intermediate,120000.0,2.0,Software Engineering,,
Machine Learning with TensorFlow on Google Cloud Platform,SPECIALIZATION,4.5,Intermediate,72000.0,2.0,Software Engineering,,
Magic in the Middle Ages,COURSE,4.6,Beginner,78000.0,2.0,Other,,
Making Architecture,COURSE,4.7,Beginner,43000.0,2.0,AR & VR Development,,
Management of Fashion and Luxury Companies,COURSE,4.7,Mixed,120000.0,2.0,Other,,
Managerial Accounting Fundamentals,COURSE,4.9,Beginner,11000.0,2.0,Finance & Accounting,,
Managerial Economics and Business Analysis,SPECIALIZATION,4.7,Beginner,55000.0,2.0,Other,,
Managing Innovation and Design Thinking,SPECIALIZATION,4.7,Beginner,23000.0,2.0,Entrepreneurship & Strategy,,
Managing Project Risks and Changes,COURSE,4.7,Mixed,71000.0,2.0,Other,,
Managing Social and Human Capital,COURSE,4.5,Beginner,27000.0,2.0,Cybersecurity,,
Managing Your Health: The Role of Physical Therapy and Exercise,COURSE,4.6,Beginner,47000.0,2.0,Healthcare & Medicine,,
Market Research,SPECIALIZATION,4.5,Beginner,22000.0,2.0,Entrepreneurship & Strategy,,
Marketing Digital,COURSE,4.8,Beginner,81000.0,2.0,Software Engineering,,
Marketing Digital,SPECIALIZATION,4.7,Beginner,39000.0,2.0,Software Engineering,,
Marketing Gerencial,COURSE,4.7,Intermediate,49000.0,2.0,AR & VR Development,,
Marketing Mix Implementation,SPECIALIZATION,4.6,Beginner,93000.0,2.0,AR & VR Development,,
Marketing Strategy,SPECIALIZATION,4.4,Beginner,57000.0,2.0,AR & VR Development,,
Marketing Verde,COURSE,4.8,Mixed,58000.0,2.0,AR & VR Development,,
Marketing con Redes Sociales,SPECIALIZATION,4.4,Intermediate,60000.0,2.0,Cybersecurity,,
Marketing in a Digital World,COURSE,4.7,Beginner,310000.0,2.0,Software Engineering,,
Mastering Data Analysis in Excel,COURSE,4.2,Mixed,280000.0,2.0,Music & Audio Production,,
Mastering Final Cut Pro,COURSE,4.6,Beginner,8400.0,2.0,Video Production & Editing,,
Mastering Software Development in R,SPECIALIZATION,4.3,Beginner,52000.0,2.0,Music & Audio Production,,
Materials Science: 10 Things Every Engineer Should Know,COURSE,4.7,Mixed,48000.0,2.0,Physics & Engineering Sciences,,
Mathematics for Data Science,SPECIALIZATION,4.5,Beginner,12000.0,2.0,Data Science,,
Mathematics for Machine Learning,SPECIALIZATION,4.6,Beginner,150000.0,2.0,Machine Learning,,
Mathematics for Machine Learning: Linear Algebra,COURSE,4.7,Beginner,140000.0,2.0,Machine Learning,,
Mathematics for Machine Learning: Multivariate Calculus,COURSE,4.7,Beginner,51000.0,2.0,Machine Learning,,
Mathematics for Machine Learning: PCA,COURSE,4.0,Intermediate,33000.0,2.0,Data Science,,
Medical Cannabis: The Health Effects of THC and CBD,SPECIALIZATION,4.8,Beginner,4800.0,2.0,Web Development,,
Medical Neuroscience,COURSE,4.9,Advanced,170000.0,2.0,Healthcare & Medicine,,
Memoir and Personal Essay: Write About Yourself,SPECIALIZATION,4.3,Beginner,13000.0,2.0,Other,,
Methods and Statistics in Social Sciences,SPECIALIZATION,4.6,Beginner,260000.0,2.0,Cybersecurity,,
Microeconomics Principles,COURSE,4.9,Beginner,73000.0,2.0,Digital Marketing,,
Microeconomics: The Power of Markets,COURSE,4.7,Mixed,34000.0,2.0,Web Development,,
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,COURSE,4.8,Beginner,230000.0,2.0,Human Resources,,
Miracles of Human Language: An Introduction to Linguistics,COURSE,4.7,Beginner,120000.0,2.0,Language Learning,,
Model Thinking,COURSE,4.8,Mixed,130000.0,2.0,Other,,
Modeling Risk and Realities,COURSE,4.6,Mixed,36000.0,2.0,Other,,
Modern Art & Ideas,COURSE,4.7,Beginner,310000.0,2.0,AR & VR Development,,
Modern Big Data Analysis with SQL,SPECIALIZATION,4.8,Beginner,14000.0,2.0,Big Data & Data Engineering,,
"Modern Robotics:  Mechanics, Planning, and Control",SPECIALIZATION,4.7,Intermediate,21000.0,2.0,Physics & Engineering Sciences,,
Modernizing Data Lakes and Data Warehouses with GCP,COURSE,4.7,Intermediate,9100.0,2.0,DevOps & Cloud Engineering,,
Moral Foundations of Politics,COURSE,4.8,Mixed,100000.0,2.0,Other,,
More Introduction to Financial Accounting,COURSE,4.9,Mixed,40000.0,2.0,Finance & Accounting,,
Mountains 101,COURSE,4.9,Mixed,44000.0,2.0,Other,,
Municipal Solid Waste Management in Developing Countries,COURSE,4.8,Intermediate,59000.0,2.0,Other,,
Music Business,SPECIALIZATION,4.8,Beginner,42000.0,2.0,Other,,
Music Business Foundations,COURSE,4.9,Mixed,34000.0,2.0,Other,,
Music Production,SPECIALIZATION,4.8,Beginner,70000.0,2.0,Music & Audio Production,,
Nanotechnology: A Maker’s Course,COURSE,4.8,Mixed,21000.0,2.0,Physics & Engineering Sciences,,
Natural Language Processing in TensorFlow,COURSE,4.6,Intermediate,40000.0,2.0,Machine Learning,,
Negociación exitosa: Estrategias y habilidades esenciales (en español),COURSE,4.8,Mixed,95000.0,2.0,Web Development,,
"Negotiation, Mediation and Conflict Resolution",SPECIALIZATION,4.7,Beginner,22000.0,2.0,Software Engineering,,
Networking and Security Architecture with VMware NSX,COURSE,4.8,Intermediate,17000.0,2.0,Cybersecurity,,
Networking in Google Cloud,SPECIALIZATION,4.7,Intermediate,290000.0,2.0,Software Engineering,,
Neural Networks and Deep Learning,COURSE,4.9,Intermediate,630000.0,2.0,Machine Learning,,
Neurolinguistics,COURSE,4.7,Mixed,41000.0,2.0,Language Learning,,
New Approaches to Countering Terror: Countering Violent Extremism,COURSE,4.7,Beginner,12000.0,2.0,Other,,
Newborn Baby Care,SPECIALIZATION,4.8,Beginner,5300.0,2.0,AR & VR Development,,
Nutrición y obesidad: control de sobrepeso,COURSE,4.8,Beginner,100000.0,2.0,Other,,
Nutrition and Lifestyle in Pregnancy,COURSE,4.8,Intermediate,35000.0,2.0,Healthcare & Medicine,,
Object Oriented Java Programming: Data Structures and Beyond,SPECIALIZATION,4.7,Intermediate,250000.0,2.0,Software Engineering,,
Object Oriented Programming in Java,SPECIALIZATION,4.6,Beginner,330000.0,2.0,Software Engineering,,
Object-Oriented Data Structures in C++,COURSE,4.7,Intermediate,21000.0,2.0,Software Engineering,,
Object-Oriented Design,COURSE,4.7,Intermediate,33000.0,2.0,Other,,
Oil & Gas Industry Operations and Markets,COURSE,4.8,Mixed,57000.0,2.0,Web Development,,
"Open Source Software Development, Linux and Git",SPECIALIZATION,4.4,Beginner,13000.0,2.0,Software Engineering,,
Operating Systems and You: Becoming a Power User,COURSE,4.6,Beginner,76000.0,2.0,Software Engineering,,
Operations Analytics,COURSE,4.7,Mixed,80000.0,2.0,Data Analytics & Business Intelligence,,
Optical Engineering,SPECIALIZATION,4.2,Advanced,6200.0,2.0,Other,,
Organizational Leadership,SPECIALIZATION,4.7,Intermediate,92000.0,2.0,Deep Learning,,
Osteoarchaeology: The Truth in Our Bones,COURSE,4.7,Beginner,22000.0,2.0,AR & VR Development,,
Palliative Care: It's Not Just Hospice Anymore,SPECIALIZATION,4.8,Beginner,3200.0,2.0,Embedded Systems & IoT,,
Palo Alto Networks Cybersecurity,SPECIALIZATION,4.6,Beginner,9100.0,2.0,Cybersecurity,,
"Parallel, Concurrent, and Distributed Programming in Java",SPECIALIZATION,4.5,Intermediate,30000.0,2.0,Software Engineering,,
Particle Physics: an Introduction,COURSE,4.5,Mixed,42000.0,2.0,Physics & Engineering Sciences,,
Patient Safety,SPECIALIZATION,4.8,Beginner,8800.0,2.0,Other,,
Patrocinio Deportivo,COURSE,4.6,Beginner,12000.0,2.0,Other,,
People Analytics,COURSE,4.5,Mixed,84000.0,2.0,Data Analytics & Business Intelligence,,
Perfect Tenses and Modals,COURSE,4.7,Intermediate,79000.0,2.0,Other,,
Periodismo digital y combate a las fake news,COURSE,4.9,Beginner,8900.0,2.0,Software Engineering,,
Photography Basics and Beyond: From Smartphone to DSLR,SPECIALIZATION,4.7,Beginner,160000.0,2.0,Photography,,
Plant Bioinformatic Methods,SPECIALIZATION,4.7,Beginner,83000.0,2.0,Databases & SQL,,
Politics and Economics of International Energy,COURSE,4.7,Beginner,34000.0,2.0,Natural Language Processing,,
Positive Psychiatry and Mental Health,COURSE,4.8,Mixed,72000.0,2.0,Healthcare & Medicine,,
Positive Psychology,COURSE,4.7,Mixed,180000.0,2.0,Healthcare & Medicine,,
Positive Psychology: Applications and Interventions,COURSE,4.8,Beginner,23000.0,2.0,Healthcare & Medicine,,
Positive Psychology: Martin E. P. Seligman’s Visionary Science,COURSE,4.8,Beginner,50000.0,2.0,Healthcare & Medicine,,
Positive Psychology: Resilience Skills,COURSE,4.6,Beginner,40000.0,2.0,Healthcare & Medicine,,
Power Electronics,SPECIALIZATION,4.8,Intermediate,67000.0,2.0,Other,,
Practical Data Science with MATLAB,SPECIALIZATION,4.7,Beginner,10000.0,2.0,Data Science,,
Practical Time Series Analysis,COURSE,4.6,Intermediate,39000.0,2.0,Data Science,,
Preparing for the Google Cloud Associate Cloud Engineer Exam,COURSE,4.7,Beginner,22000.0,2.0,Software Engineering,,
Preparing to Manage Human Resources,COURSE,4.8,Mixed,68000.0,2.0,Human Resources,,
"Presentation Skills: Speechwriting, Slides and Delivery",SPECIALIZATION,4.6,Beginner,47000.0,2.0,Soft Skills & Communication,,
Pricing Strategy Optimization,SPECIALIZATION,4.8,Beginner,20000.0,2.0,Supply Chain & Operations,,
Primeros Auxilios Psicológicos (PAP),COURSE,4.8,Mixed,280000.0,2.0,Mobile Development,,
Private Equity and Venture Capital,COURSE,4.8,Mixed,79000.0,2.0,Finance & Accounting,,
Probabilistic Graphical Models 1: Representation,COURSE,4.7,Advanced,68000.0,2.0,Data Analytics & Business Intelligence,,
Probability and Statistics: To p or not to p?,COURSE,4.6,Beginner,36000.0,2.0,Data Science,,
Process Mining: Data science in Action,COURSE,4.8,Intermediate,39000.0,2.0,Data Science,,
"Programming Foundations with JavaScript, HTML and CSS",COURSE,4.6,Beginner,250000.0,2.0,Web Development,,
Programming Fundamentals,COURSE,4.7,Beginner,19000.0,2.0,Other,,
Programming for Everybody (Getting Started with Python),COURSE,4.8,Mixed,1300000.0,2.0,Software Engineering,,
Programming with Google Go,SPECIALIZATION,4.6,Intermediate,18000.0,2.0,Software Engineering,,
Project Execution,COURSE,4.2,Beginner,70000.0,2.0,Other,,
Project Launch,COURSE,4.7,Beginner,190000.0,2.0,Other,,
Project Management & Other Tools for Career Development,SPECIALIZATION,4.6,Beginner,440000.0,2.0,Project Management,,
Project Management Principles and Practices,SPECIALIZATION,4.7,Beginner,230000.0,2.0,Project Management,,
Psychological First Aid,COURSE,4.8,Mixed,190000.0,2.0,Other,,
Public Policy Challenges of the 21st Century,COURSE,4.6,Beginner,52000.0,2.0,Other,,
Python Basics,COURSE,4.8,Beginner,110000.0,2.0,Software Engineering,,
Python Classes and Inheritance,COURSE,4.7,Intermediate,21000.0,2.0,Software Engineering,,
Python Data Structures,COURSE,4.9,Mixed,420000.0,2.0,Software Engineering,,
"Python Functions, Files, and Dictionaries",COURSE,4.8,Beginner,26000.0,2.0,Software Engineering,,
Python and Statistics for Financial Analysis,COURSE,4.4,Intermediate,41000.0,2.0,Software Engineering,,
Python for Data Science and AI,COURSE,4.6,Beginner,170000.0,2.0,Software Engineering,,
Python for Everybody,SPECIALIZATION,4.8,Beginner,1500000.0,2.0,Software Engineering,,
Quantitative Methods,COURSE,4.7,Mixed,69000.0,2.0,Financial Analysis,,
Queering Identities: LGBTQ+ Sexuality and Gender Identity,COURSE,4.9,Beginner,3000.0,2.0,Other,,
R Programming,COURSE,4.6,Intermediate,480000.0,2.0,Other,,
"Ready, Set, Future! Introduction to Futures Thinking",COURSE,4.8,Beginner,7700.0,2.0,Finance & Accounting,,
Recommender Systems,SPECIALIZATION,4.3,Intermediate,29000.0,2.0,Other,,
"Recruiting, Hiring, and Onboarding Employees",COURSE,4.7,Mixed,35000.0,2.0,Human Resources,,
Reinforcement Learning,SPECIALIZATION,4.7,Intermediate,23000.0,2.0,Machine Learning,,
Renewable Energy and Green Building Entrepreneurship,COURSE,4.7,Beginner,24000.0,2.0,Embedded Systems & IoT,,
Reporting extra-financier et stratégie RSE,COURSE,4.7,Beginner,5200.0,2.0,Data Analytics & Business Intelligence,,
Requirements Engineering: Secure Software  Specifications,SPECIALIZATION,4.6,Beginner,7200.0,2.0,Web Development,,
Research Data Management and Sharing,COURSE,4.6,Mixed,16000.0,2.0,AR & VR Development,,
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",COURSE,4.8,Mixed,15000.0,2.0,AR & VR Development,,
Responsive Website Development and Design,SPECIALIZATION,4.5,Beginner,170000.0,2.0,Other,,
Rethinking International Tax Law,COURSE,4.9,Mixed,36000.0,2.0,Finance & Accounting,,
Revisão Sistemática e Meta-análise,COURSE,4.9,Intermediate,17000.0,2.0,Other,,
Robotics,SPECIALIZATION,4.4,Beginner,120000.0,2.0,Robotics & Automation,,
Roman Architecture,COURSE,4.9,Beginner,30000.0,2.0,AR & VR Development,,
Russian Alphabet,COURSE,4.7,Beginner,3200.0,2.0,Other,,
Russian for beginners А1. Русский язык: A1,SPECIALIZATION,4.7,Beginner,7000.0,2.0,Natural Language Processing,,
Réussir le Changement,COURSE,4.5,Mixed,33000.0,2.0,Other,,
SAS Programmer,PROFESSIONAL CERTIFICATE,4.8,Beginner,370000.0,2.0,Other,,
SAS Visual Business Analytics,PROFESSIONAL CERTIFICATE,4.6,Beginner,2600.0,2.0,Data Analytics & Business Intelligence,,
SQL for Data Science,COURSE,4.6,Beginner,160000.0,2.0,Data Science,,
Sales Operations/Management,SPECIALIZATION,4.4,Beginner,5600.0,2.0,Sales & Customer Success,,
Sales Training for High Performing Teams,SPECIALIZATION,4.7,Beginner,16000.0,2.0,Databases & SQL,,
Sample-based Learning Methods,COURSE,4.8,Intermediate,6800.0,2.0,AR & VR Development,,
Scaling Operations: Linking Strategy and Execution,COURSE,4.5,Mixed,12000.0,2.0,Entrepreneurship & Strategy,,
School Health for Children and Adolescents,SPECIALIZATION,4.8,Beginner,9100.0,2.0,Web Development,,
Science of Exercise,COURSE,4.8,Beginner,140000.0,2.0,Other,,
Search Engine Optimization Fundamentals,COURSE,4.7,Mixed,47000.0,2.0,Digital Marketing,,
Secure Coding Practices,SPECIALIZATION,4.4,Intermediate,6400.0,2.0,Other,,
Security & Safety Challenges in a Globalized World,COURSE,4.7,Beginner,14000.0,2.0,Cybersecurity,,
Security in Google Cloud Platform,SPECIALIZATION,4.7,Intermediate,300000.0,2.0,Software Engineering,,
Self-Driving Cars,SPECIALIZATION,4.7,Advanced,39000.0,2.0,AR & VR Development,,
Sequence Models,COURSE,4.8,Intermediate,14000.0,2.0,Music & Audio Production,,
Sexualidad...mucho más que sexo,COURSE,4.8,Beginner,110000.0,2.0,Other,,
Sharpened Visions: A Poetry Workshop,COURSE,4.7,Beginner,61000.0,2.0,AR & VR Development,,
Site Reliability Engineering: Measuring and Managing Reliability,COURSE,4.5,Advanced,16000.0,2.0,DevOps & Cloud Engineering,,
Six Sigma Green Belt,SPECIALIZATION,4.7,Intermediate,18000.0,2.0,Big Data & Data Engineering,,
Six Sigma and the Organization (Advanced),COURSE,4.7,Intermediate,15000.0,2.0,Deep Learning,,
"Sleep: Neurobiology, Medicine, and Society",COURSE,4.8,Beginner,20000.0,2.0,Cybersecurity,,
Smart Cities – Management of Smart Urban Infrastructures,COURSE,4.6,Beginner,22000.0,2.0,AR & VR Development,,
Social Entrepreneurship,SPECIALIZATION,4.6,Beginner,13000.0,2.0,Cybersecurity,,
Social Media Marketing,SPECIALIZATION,4.6,Beginner,130000.0,2.0,Cybersecurity,,
"Social Norms, Social Change I",COURSE,4.6,Beginner,78000.0,2.0,Cybersecurity,,
Social Policy for Social Services & Health Practitioners,SPECIALIZATION,4.8,Beginner,4200.0,2.0,Cybersecurity,,
Social Psychology,COURSE,4.7,Beginner,220000.0,2.0,Cybersecurity,,
Social and Economic Networks:  Models and Analysis,COURSE,4.8,Advanced,42000.0,2.0,Cybersecurity,,
Software Design and Architecture,SPECIALIZATION,4.6,Beginner,60000.0,2.0,AR & VR Development,,
Software Development Lifecycle,SPECIALIZATION,4.6,Intermediate,34000.0,2.0,AR & VR Development,,
Software Processes and Agile Practices,COURSE,4.7,Mixed,60000.0,2.0,Project Management,,
Software Product Management,SPECIALIZATION,4.6,Beginner,110000.0,2.0,Project Management,,
Solar Energy Basics,COURSE,4.8,Beginner,17000.0,2.0,Natural Language Processing,,
Songwriting: Writing the Lyrics,COURSE,4.8,Beginner,68000.0,2.0,Other,,
Soporte de Tecnologías de la Información de Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,8800.0,2.0,Software Engineering,,
Spacecraft Dynamics and Control,SPECIALIZATION,4.8,Advanced,12000.0,2.0,Web Development,,
Spanish Vocabulary: Meeting People,COURSE,4.6,Beginner,71000.0,2.0,Web Development,,
"Speak English Professionally: In Person, Online & On the Phone",COURSE,4.6,Mixed,430000.0,2.0,Language Learning,,
Sports Marketing,COURSE,4.7,Intermediate,12000.0,2.0,Web Development,,
Sports and Society,COURSE,4.8,Mixed,16000.0,2.0,Web Development,,
Stanford Introduction to Food and Health,COURSE,4.7,Beginner,370000.0,2.0,Other,,
Stanford's Short Course on Breastfeeding,COURSE,4.7,Beginner,17000.0,2.0,Other,,
Statistical Analysis with R for Public Health,SPECIALIZATION,4.7,Beginner,16000.0,2.0,Data Science,,
Statistics with Python,SPECIALIZATION,4.6,Beginner,34000.0,2.0,Software Engineering,,
Statistics with R,SPECIALIZATION,4.7,Beginner,220000.0,2.0,Data Science,,
Stories of Infection,COURSE,4.9,Intermediate,28000.0,2.0,Other,,
Strategic Business Analytics,SPECIALIZATION,4.3,Advanced,60000.0,2.0,Data Analytics & Business Intelligence,,
Strategic Business Management - Microeconomics,COURSE,4.7,Beginner,9500.0,2.0,Digital Marketing,,
Strategic Leadership and Management,SPECIALIZATION,4.7,Beginner,100000.0,2.0,Project Management,,
Strategic Management,COURSE,4.7,Mixed,58000.0,2.0,Other,,
Strategic Management and Innovation,SPECIALIZATION,4.7,Beginner,68000.0,2.0,Entrepreneurship & Strategy,,
Strategic Sales Management,SPECIALIZATION,4.5,Intermediate,9200.0,2.0,Sales & Customer Success,,
Strategising: Management for Global Competitive Advantage,SPECIALIZATION,4.8,Intermediate,30000.0,2.0,Environmental Science & Sustainability,,
Strategy and Sustainability,COURSE,4.6,Beginner,11000.0,2.0,Data Analytics & Business Intelligence,,
Structuring Machine Learning Projects,COURSE,4.8,Beginner,220000.0,2.0,Web Development,,
Success,COURSE,4.8,Beginner,38000.0,2.0,Other,,
Successful Negotiation: Essential Strategies and Skills,COURSE,4.8,Mixed,750000.0,2.0,Software Engineering,,
Summary Statistics in Public Health,COURSE,4.8,Beginner,11000.0,2.0,Data Science,,
Supply Chain Analytics,COURSE,4.7,Beginner,7900.0,2.0,Data Analytics & Business Intelligence,,
Supply Chain Finance and Blockchain Technology,SPECIALIZATION,4.6,Intermediate,4900.0,2.0,Blockchain & Web3,,
Supply Chain Logistics,COURSE,4.7,Beginner,66000.0,2.0,Supply Chain & Operations,,
Supply Chain Management,SPECIALIZATION,4.7,Beginner,82000.0,2.0,Supply Chain & Operations,,
Supply Chain Operations,COURSE,4.8,Beginner,24000.0,2.0,Supply Chain & Operations,,
Supply Chain Principles,COURSE,4.6,Mixed,29000.0,2.0,Supply Chain & Operations,,
Supporting children with difficulties in reading and writing,COURSE,4.8,Mixed,50000.0,2.0,Sales & Customer Success,,
Survey Data Collection and Analytics,SPECIALIZATION,4.3,Beginner,45000.0,2.0,Data Analytics & Business Intelligence,,
Sustainable Tourism – promoting environmental public health,COURSE,4.6,Beginner,9400.0,2.0,Embedded Systems & IoT,,
Swift 5 iOS Application Developer,SPECIALIZATION,4.5,Beginner,3900.0,2.0,Mobile Development,,
System Administration and IT Infrastructure Services,COURSE,4.7,Beginner,62000.0,2.0,Cybersecurity,,
Systems Biology and Biotechnology,SPECIALIZATION,4.4,Intermediate,48000.0,2.0,Embedded Systems & IoT,,
Systems Thinking In Public Health,COURSE,4.9,Mixed,33000.0,2.0,Healthcare & Medicine,,
"TESOL Certificate, Part 1: Teach English Now!",SPECIALIZATION,4.9,Beginner,100000.0,2.0,Cybersecurity,,
"TESOL Certificate, Part 2: Teach English Now!",SPECIALIZATION,4.9,Beginner,62000.0,2.0,Cybersecurity,,
Teach English Now! Foundational Principles,COURSE,4.9,Mixed,81000.0,2.0,Language Learning,,
Teach English Now! Teaching Language Online,COURSE,4.4,Intermediate,8500.0,2.0,Language Learning,,
Teaching Character and Creating Positive Classrooms,COURSE,4.8,Mixed,53000.0,2.0,Web Development,,
Teamwork Skills: Communicating Effectively in Groups,COURSE,4.8,Beginner,49000.0,2.0,Soft Skills & Communication,,
Technical Support Fundamentals,COURSE,4.8,Beginner,280000.0,2.0,Sales & Customer Success,,
TensorFlow in Practice,SPECIALIZATION,4.7,Intermediate,170000.0,2.0,Machine Learning,,
TensorFlow: Data and Deployment,SPECIALIZATION,4.5,Intermediate,12000.0,2.0,Machine Learning,,
Terrorism and Counterterrorism: Comparing Theory and Practice,COURSE,4.8,Beginner,90000.0,2.0,AR & VR Development,,
The Addicted Brain,COURSE,4.6,Beginner,130000.0,2.0,Other,,
The Art of Music Production,COURSE,4.8,Intermediate,47000.0,2.0,Music & Audio Production,,
The Art of Sales: Mastering the Selling Process,SPECIALIZATION,4.7,Beginner,23000.0,2.0,Sales & Customer Success,,
The Arts and Science of Relationships: Understanding Human Needs,COURSE,4.5,Beginner,73000.0,2.0,Web Development,,
The Bits and Bytes of Computer Networking,COURSE,4.7,Beginner,130000.0,2.0,Web Development,,
The Business of Health Care,SPECIALIZATION,4.6,Beginner,22000.0,2.0,AR & VR Development,,
The Business of Music Production,SPECIALIZATION,4.8,Beginner,84000.0,2.0,Music & Audio Production,,
The Changing Global Order,COURSE,4.7,Intermediate,23000.0,2.0,Other,,
The Cycle: Management of Successful Arts and Cultural Organizations,COURSE,4.8,Beginner,11000.0,2.0,Web Development,,
The DIY Musician,SPECIALIZATION,4.8,Beginner,120000.0,2.0,Other,,
The Data Scientist’s Toolbox,COURSE,4.6,Mixed,420000.0,2.0,Other,,
The Economics of Health Care Delivery,COURSE,4.8,Mixed,7200.0,2.0,AR & VR Development,,
The Global Financial Crisis,COURSE,4.8,Mixed,84000.0,2.0,Other,,
The Horse Course: Introduction to Basic Care and Management,COURSE,4.9,Mixed,29000.0,2.0,AR & VR Development,,
The Manager's Toolkit: A Practical Guide to Managing People at Work,COURSE,4.6,Mixed,47000.0,2.0,Other,,
"The Modern World, Part One: Global History from 1760 to 1910",COURSE,4.8,Beginner,130000.0,2.0,AR & VR Development,,
"The Modern World, Part Two: Global History since 1910",COURSE,4.8,Beginner,47000.0,2.0,AR & VR Development,,
The Oral Cavity: Portal to Health and Disease,COURSE,4.9,Intermediate,9400.0,2.0,Deep Learning,,
The Power of Macroeconomics: Economic Principles in the Real World,COURSE,4.6,Mixed,180000.0,2.0,Digital Marketing,,
The Power of Microeconomics: Economic Principles in the Real World,COURSE,4.7,Mixed,120000.0,2.0,Digital Marketing,,
The Pronunciation of American English,SPECIALIZATION,4.6,Beginner,1700.0,2.0,Language Learning,,
The Science of Gastronomy,COURSE,4.6,Mixed,50000.0,2.0,Web Development,,
The Science of Stem Cells,COURSE,4.7,Intermediate,12000.0,2.0,Other,,
The Science of Success: What Researchers Know that You Should Know,COURSE,4.8,Beginner,59000.0,2.0,AR & VR Development,,
The Science of Training Young Athletes,COURSE,4.9,Beginner,13000.0,2.0,Other,,
The Science of Well-Being,COURSE,4.9,Mixed,2500000.0,2.0,Other,,
The Singer Songwriter,SPECIALIZATION,4.8,Beginner,320000.0,2.0,Other,,
The Social Context of Mental Health and Illness,COURSE,4.6,Mixed,19000.0,2.0,Cybersecurity,,
The Strategy of Content Marketing,COURSE,4.5,Intermediate,100000.0,2.0,Digital Marketing,,
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",COURSE,4.8,Beginner,26000.0,2.0,Software Engineering,,
The Teacher and Social and Emotional Learning (SEL),SPECIALIZATION,4.7,Beginner,5200.0,2.0,Cybersecurity,,
The Technology of Music Production,COURSE,4.8,Beginner,28000.0,2.0,Music & Audio Production,,
The Truth About Cats and Dogs,COURSE,4.7,Mixed,33000.0,2.0,Web Development,,
The hidden value – Lean in manufacturing and services,COURSE,4.7,Beginner,14000.0,2.0,Project Management,,
Think Again I: How to Understand Arguments,COURSE,4.6,Beginner,200000.0,2.0,Web Development,,
Tools for Data Science,COURSE,4.6,Beginner,120000.0,2.0,Data Science,,
Trading Strategies in Emerging Markets,SPECIALIZATION,4.3,Beginner,68000.0,2.0,Web Development,,
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",COURSE,4.8,Mixed,45000.0,2.0,Soft Skills & Communication,,
Tricky American English Pronunciation,COURSE,4.7,Beginner,110000.0,2.0,Language Learning,,
Troubles du spectre de l'autisme : diagnostic,COURSE,4.9,Intermediate,5400.0,2.0,Embedded Systems & IoT,,
U.S. Federal Taxation,SPECIALIZATION,4.8,Intermediate,12000.0,2.0,Finance & Accounting,,
UCI Project Management,PROFESSIONAL CERTIFICATE,4.6,Beginner,44000.0,2.0,Project Management,,
UI / UX Design,SPECIALIZATION,4.7,Beginner,68000.0,2.0,Graphic Design,,
UX Design Fundamentals,COURSE,4.8,Beginner,25000.0,2.0,Graphic Design,,
Understanding Cancer Metastasis,COURSE,4.8,Beginner,29000.0,2.0,Other,,
Understanding Clinical Research: Behind the Statistics,COURSE,4.8,Mixed,78000.0,2.0,Data Science,,
Understanding Einstein: The Special Theory of Relativity,COURSE,4.9,Beginner,89000.0,2.0,Deep Learning,,
